Cell Site Name,Outage,Congestion ,Buffering ,Latency
Alamo Bend-28,0,0,0,0
Alma Water Tank,0,0,0,0
Anasazi Inn,0,0,0,0
Anasazi Inn-11226,0,0,0,0
Aneth,0,0,0,0
Aneth-10903,0,0,0,0
Angel Fire,0,0,0,0
Angel Fire South,0,0,0,0
Angel Fire West,0,0,0,0
Anita,0,1,1,0
Antelope Point Marina,0,0,0,0
Antelope Point Marina-10293,0,0,0,0
Antero Reservoir,0,0,0,0
Arlington,0,0,0,0
Arroyo Hondo,0,0,0,0
Ashland,0,0,0,0
Atlanta Test Cell,0,1,1,0
Atrisco-1800,0,0,0,0
Badger Mountain,0,0,0,0
Beclabito-1804,0,0,0,0
Bedrock City,0,1,1,0
Big Water,0,1,1,0
Big Water-10900,0,1,1,0
Black Mesa-10227,0,0,0,0
Blanco Hill,0,0,0,0
Blue Diamond-10628,0,0,0,0
Blue Gap,0,0,0,0
Blue Gap-10250,0,0,0,0
Bluff,0,0,0,0
Bluff-10904,0,0,0,0
Bouse,0,0,0,0
Brazos Canyon,0,0,0,0
Burnside,0,0,0,0
Burnside-11200,0,0,0,0
Cameron Water Tank,0,0,0,0
Cameron Water Tank-10260,0,0,0,0
Cedar Ridge,0,0,0,0
Cedar Ridge-10200,0,0,0,0
Chama,0,0,0,0
Chama Downtown,0,0,0,0
Chilchinbito,1,0,0,0
Chilchinbito-11237,1,0,0,0
Chinle,0,0,0,0
Chinle East,0,0,0,0
Chinle East-10246,0,0,0,0
Chinle Hospital,0,0,0,0
Chinle Hospital-11211,0,0,0,0
Chinle North,0,0,0,0
Chinle North-11202,0,0,0,0
Chinle-20201,0,0,0,0
Chisos Basin,0,0,0,0
Cimarron South,0,0,0,0
Coalmine Canyon,0,0,0,0
Coalmine Canyon-10243,0,0,0,0
Commnet_Lab_Airscale_eNodeB-1,0,0,0,0
Congress West,0,0,0,0
Continental Divide,0,0,0,0
Coppermine,0,0,0,0
Coppermine-10264,0,0,0,0
Counselor,1,0,0,0
Cow Springs West,0,0,0,0
Cow Springs West-11209,0,0,0,0
Creede,0,0,0,0
Creede Downtown,0,0,0,0
Cross Timbers-10621,0,0,0,0
Crystal,0,0,0,0
Crystal-10194,0,0,0,0
CSRK-91-perry-test-cell,0,0,0,0
CSRK-UL-Test,0,0,0,0
Cuba Downtown,0,0,0,0
Cuba South,0,0,0,0
Cuba_1900,0,0,0,0
Cuba_700,0,0,0,0
Dennehotso-10202,0,0,0,0
Dennis Naglowsky,0,0,0,0
Devil's Head-203,1,0,0,0
Dilkon,0,0,0,0
Dilkon District Office-10226,0,0,0,0
Dubois,0,0,0,0
Duck Water-695,0,1,1,0
Dulce,1,0,0,0
Eagle Nest,0,0,0,0
Eagle Tail Mountain,0,0,0,0
Elden Peak,1,1,0,0
Elden Peak-10204,1,1,0,0
Eleven Mile,0,0,0,0
Elk Creek,0,0,0,0
Elko Mountain,0,0,0,0
Elko Shopping District,0,0,0,0
Elko West,0,0,0,0
Elko West-10676,0,0,0,0
Elko West-20676,0,0,0,0
Elko West-30676,0,0,0,0
Ely East-10619,0,0,0,0
