report_site_name,latitude,longitude
Angel Fire West,36.38783264,-105.2741928
Red Valley,36.59554291,-109.0733185
Little Water,36.47360992,-108.7343063
Navajo Mountain Cradle Board,37.02197266,-110.765892
Tolani Lake,35.39494705,-110.8817215
Wickenburg North,34.0137425,-112.7918739
Naschitti,36.06456757,-108.6855774
Kaibeto,36.580672,-111.100586
Two Grey Hills,36.239254,-108.8047409
Bluff,37.26864624,-109.5569611
Fort Defiance,35.74466705,-109.0548019
Blue Gap,36.15534973,-110.007988
Saint Michaels Water Tank,35.679948,-109.068139
Tonalea,36.3248024,-110.9526367
Hole In The Rock,36.33261108,-110.1006775
Kayenta Downtown,36.72629929,-110.2501526
Many Farms Mesa,36.36292777,-109.6402722
Rock Point,36.726139,-109.610175
Dilkon District Office,35.39384842,-110.3294754
Coalmine Canyon,35.99376,-111.023339
Lukachukai,36.41182327,-109.2488174
Teesto,35.51655197,-110.4394684
Greasewood,35.52480698,-109.8603592
Red Lake,35.90252686,-109.0333557
Coppermine,36.62721634,-111.4346466
Lechee,36.84635925,-111.4486389
Rough Rock,36.40359879,-109.8675232
Kinlichee,35.72196198,-109.4217682
Indian Wells,35.39740372,-110.0947189
CR LTE Test Cell,,
Castle Rock LTE Test Cell,,
Aneth,37.246461,-109.216825
Mexican Water,37.026376,-109.580986
ZTE SDR(99),,
Shiprock District Office,36.77680833,-108.7023444
Pinon Chapter House,36.10208333,-110.2212778
Hard Rock Many Bobcats,36.07425,-110.5139444
Tselani,36.068139,-109.886417
Cameron Water Tank,35.85001111,-111.4396417
ATL Test Cell,,
Monument Valley,37.01010132,-110.2064056
Taos Downtown,36.389583,-105.579791
Chinle East,36.151306,-109.549472
Fort Defiance West,35.74923055,-109.0795306
Dulce,36.9838,-106.9709
Tse Daa K'aan,36.77701111,-108.6120083
Shiprock East,36.79105555,-108.6750167
Shiprock North,36.81658333,-108.6874139
Tsaile,36.29143143,-109.2043076
Eagle Nest,36.5507431,-105.2772522
Angel Fire,36.3813324,-105.2391129
Angel Fire South,36.36716666,-105.3317778
Chinle Hospital,36.15849444,-109.605775
Cow Springs West,36.40197222,-110.8458972
Shonto South,36.44558611,-110.7250806
Anasazi Inn,36.643511,-110.434639
TEST1CR01 Castle Rock -test,,
Chinle,36.16305923,-109.5823059
Little Black Spot,36.07577896,-110.3318863
Na Ah Tee Mesa,35.47117615,-110.1894836
Tuba City South,36.11083221,-111.2418976
Tuba City,36.1308,-111.2474
Gap,36.302247,-111.461981
CSRK-UL-Test,,
Red River East,36.704233,-105.3985
Red River,36.72900009,-105.4250031
Upper Valley Red River,36.68399811,-105.3733902
Forest Lake Water Tank,36.28917313,-110.3037109
CSRK--perry-test-cell,,
Ojo Caliente,36.30622101,-106.0523987
Taos South,36.340483,-105.610418
Eureka,39.44965833,-115.9991
Kingston Mines,39.20222092,-117.0983353
Austin Summit,39.453686,-117.054639
Fairview Peak,39.2254982,-118.1525497
Golconda,40.93347168,-117.4000854
Mount Moses,40.1936,-117.4109
Gerlach,40.65027618,-119.3536148
Fish Creek,40.41505051,-117.2063446
Man Camp,40.10095215,-116.2751541
Dunphy East,40.64441666,-116.3395
Horse Canyon,40.11089,-116.56284
Frog Ponds,40.742999,-119.186273
Mount Callaghan,39.71055638,-116.9506197
Tonkin,39.94373611,-116.4705
Imlay,40.71598434,-118.2297668
Toulon Peak,40.11802673,-118.7275391
Fort Burgwin,36.27661896,-105.5796509
Questa,36.71472168,-105.5977783
Red Hill,39.2733,-105.9595583
Sugar Shack,36.69298333,-105.5147944
Winnemucca Mountain,41.01027679,-117.7643585
Cimarron South,36.503988,-104.90289
Jefferson South,39.2203331,-105.7864151
Chinle North,36.25374444,-109.5920611
Shonto,36.593911,-110.655581
Customer Service,39.47611237,-118.796257
Pioneer,39.48472977,-118.8570175
Rattlesnake,39.48916626,-118.7527771
Southside,39.4056282,-118.7261429
Sand Mountain,39.29780197,-118.4767456
Desert Peak,39.78655243,-118.9384155
Lovelock,40.187811,-118.466244
Tuba City District Office,36.13136666,-111.235005
Kayenta West,36.717636,-110.254086
Penasco,36.22916794,-105.7419434
Elko West,40.84111111,-115.7805556
Tesuque,35.78583145,-105.7816696
Elko Mountain,40.894323,-115.630418
Eleven Mile,38.93489075,-105.4925003
Arroyo Hondo,36.52563858,-105.7756042
Mud Canyon,33.19194444,-105.714222
Pajarito Peak,35.69633333,-106.8590556
Soldier Mountain,33.16669464,-105.7771378
Continental Divide,36.07583237,-107.1378174
Cuba South,35.82616666,-106.9709722
Counselor,36.20888889,-107.4641758
Jemez Springs,35.76636111,-106.6986083
Lama,36.65644455,-105.6329727
Alma Water Tank,39.28626388,-106.0682944
Dennis Naglowsky,38.8866,-105.901
Elko Shopping District,40.839269,-115.789492
Spring Creek,40.737639,-115.574639
Leupp,35.29413888,-111.0019167
Crystal,36.03402,-108.970182
Jacob Lake,36.723025,-112.2145611
Paria,36.88254929,-111.5875092
Wahweap,36.995444,-111.485861
South Red Hill,36.502368,-111.591208
Willie,36.225081,-111.412964
Cedar Ridge,36.394,-111.5273
Tuba Cutoff,36.07654572,-111.3857422
Virginia Peak,39.755919,-119.46135
Los Alamos West,35.88666534,-106.3944168
Oljato,37.03572777,-110.3149306
Anita,35.86933333,-112.1286389
Dubois,43.49966812,-109.6887741
Page West,36.92272222,-111.4614556
Page,36.9081955,-111.4540939
Bedrock City,35.64944458,-112.140274
Yale Point,36.352108,-109.8315811
Los Alamos South,35.8797226,-106.2835007
Los Alamos,35.89664078,-106.2950592
Antelope Point Marina,36.956855,-111.426155
Tusayan Airport,35.94527817,-112.1719437
Nambe,35.84860992,-105.9925003
White Rock,35.82389069,-106.2233353
Escrito Mesa,36.21534166,-107.5606583
Spinney Reservoir,38.97819166,-105.6174056
Wickenburg,33.97935867,-112.7354965
Houck,35.292806,-109.235139
Wickenburg East,33.96447372,-112.7166138
